Артикул,01.06.2020,01.07.2020,01.08.2020,01.09.2020,01.10.2020,01.11.2020,01.12.2020,01.01.2021,01.02.2021,01.03.2021,01.04.2021,01.05.2021,01.06.2021,01.07.2021,01.08.2021,01.09.2021,01.10.2021,01.11.2021,01.12.2021,01.01.2022,01.02.2022,01.03.2022,01.04.2022,01.05.2022,01.06.2022,01.07.2022,01.08.2022,01.09.2022,01.10.2022,01.11.2022,01.12.2022,01.01.2023,01.02.2023,01.03.2023,01.04.2023,01.05.2023,01.06.2023,01.07.2023,01.08.2023
203,5,1,,4,10,,,,,,10,,11,,,,,,,,,,,,8,,,,1,,,,,8,5,,1,,
204,,4,2,,2,1,,5,6,12,8,2,9,5,4,16,,8,4,5,2,8,3,6,4,4,,6,4,,4,,12,4,8,10,12,2,2
205,,,,,,,1,,,2,2,,,,,3,,,1,,2,7,,,,,,3,1,,,4,10,7,1,2,6,,
206,,,,,,,8,8,12,42,,,,20,2,12,,,12,,24,24,,6,,,,,,8,,25,10,41,1,12,13,19,14
207,12,4,15,25,28,24,14,39,61,24,34,24,34,16,1,12,9,29,49,21,51,9,39,16,10,12,2,17,27,12,12,29,51,120,23,20,27,8,12
208,3,,1,,,,,5,,,2,1,2,3,,1,1,1,1,,,1,,,,2,,2,,,2,,,1,,5,,,
209,,,1,2,,2,,1,,,4,,,2,,2,,1,,3,3,2,,,3,3,,,,,,,15,1,11,,2,,35
210,14,8,6,24,12,18,,30,26,36,4,6,10,6,10,12,8,18,8,42,60,28,14,16,16,9,18,-6,12,6,16,12,42,27,32,22,29,22,
211,,,,,,1,4,3,2,,,4,2,20,,,,1,,1,6,1,7,,12,1,,,,,,,,,,8,13,2,
212,7,,,,,1,8,,6,1,4,2,7,,,,,,,2,,,1,14,1,,,6,,,2,,2,,3,,1,4,2
213,,,,,,,,,,,2,4,6,,1,,,,,,21,,22,7,,,5,,,,4,,,2,9,,10,,
214,6,10,6,,,,,,,9,1,,15,,,6,,,,6,,8,1,1,4,,1,6,6,,,2,,11,1,13,1,3,
215,,,,8,,,5,,,4,,5,9,,,,,,,,,,,,5,,,,,,4,,,3,5,,5,,
216,,5,3,4,7,8,3,,30,18,,25,7,5,9,,2,2,14,1,,,7,2,13,6,,,,,1,2,4,6,,21,21,4,5
217,4,8,23,13,5,,24,30,23,42,17,4,24,12,18,27,2,14,8,22,25,28,8,,23,2,16,17,,15,6,2,10,8,11,13,,5,
218,,2,,,,1,2,,,,1,4,8,,,,2,,,2,,4,,,5,,1,,,,,,,2,,10,5,,6
219,2,1,1,8,2,,,,,2,4,1,2,7,2,6,,2,,6,6,,12,,2,5,8,,,,,2,,,20,8,8,,
220,1,5,2,5,,,,6,36,,8,8,6,6,1,,,2,12,,10,,1,16,2,11,4,4,,,,2,,2,,2,11,,
221,5,7,,1,,2,4,2,4,2,2,20,10,1,3,,2,,6,,16,-6,,16,2,2,,,,,4,,2,,2,14,24,4,
222,32,12,19,,,13,11,4,22,10,24,2,6,3,14,12,8,,,15,35,,,,16,,,1,,6,6,8,26,35,17,20,5,50,4
223,,,,,,,10,,,,10,,15,,,,,,,,,,,,,,,,5,,5,,,7,,,3,,
224,1,,,3,,,,,1,10,2,,4,,,,,,1,,2,1,,,,,,,3,,4,,,1,,,2,2,
225,,2,,,,,,,,,,,2,2,,,,,,4,2,1,,,,,1,,,,,1,,6,10,5,,,
226,78,38,,,,,4,40,120,,19,20,33,4,,16,10,,147,,7,37,,21,24,3,,,,,,20,26,,45,6,11,4,
227,12,8,3,9,,8,5,1,42,1,,30,79,7,3,,14,7,44,8,6,16,2,1,9,2,2,2,,,8,10,5,5,9,1,,1,
228,25,6,,28,,3,2,3,28,10,67,67,91,7,10,2,16,,3,44,19,48,58,178,75,,4,3,,7,36,20,9,21,81,19,30,6,6
229,27,50,14,4,10,11,19,,42,9,69,22,108,31,6,10,9,8,14,18,20,72,34,232,6,47,,2,6,4,36,8,31,44,34,18,21,66,2
230,14,43,42,24,39,62,44,56,72,38,92,36,39,46,29,18,28,18,30,64,36,98,80,28,54,24,12,43,40,24,40,18,43,68,39,20,34,26,33
231,,,,7,3,7,,9,,1,,2,,,,7,,7,7,8,,7,7,,7,,,7,,14,,,,17,,,,,
232,,,,50,,,,,2,,,,14,,,11,,4,,,,,,,,,,6,,,43,,,4,,,,,22
233,,1,,1,4,,2,,,,4,,,,,2,,,,,4,3,,10,6,,,,,,,,,6,2,,,3,
234,,3,1,,,,,2,,,7,,,2,1,,3,1,,9,4,5,,,,2,,,,,,10,5,,3,,,,
235,36,2,4,,,,,,20,8,20,50,28,2,2,,,,,10,8,,4,4,18,12,,,,,,16,8,12,12,12,4,6,
236,1,6,,,,,3,2,1,,3,2,3,,,,1,,1,1,3,1,1,1,1,,,,,2,4,,5,10,5,,,1,
237,,2,,85,16,1,1,,6,4,234,4,4,4,66,210,2,,12,2,6,4,2,,7,,2,88,,,4,3,56,178,,90,88,17,
238,10,,,,50,,,,5,58,5,,,1,,,,,24,,5,58,8,20,,,,,,,,,30,24,49,,,,20
239,,,1,7,4,,,,7,2,30,1,,,,12,,6,2,11,2,,1,10,,,,9,5,,1,,1,5,,5,2,2,1
240,2,,,,,,2,,,,2,,2,,2,2,,,2,,4,,2,,,,,,,2,,2,,5,1,,,6,4
241,,2,4,,-1,,2,2,13,,2,,,,,,3,2,,4,5,,,,,,,1,,,,2,2,2,4,,,,6
242,,,,2,2,,,,,2,2,,,4,,1,2,1,,4,5,,1,,4,,3,-1,2,,,4,1,,,1,,,2
243,72,1,,1,7,1,1,1,1,5,,,,2,,1,,76,2,1,9,1,4,9,4,,,17,,,,,,,16,,1,,12
244,,1,5,7,2,2,,4,15,8,4,2,6,4,3,11,8,,,8,4,9,2,,8,2,4,2,2,,6,,6,7,8,10,,2,2
245,75,150,175,110,-25,150,50,,175,,,150,50,120,325,250,75,100,175,50,40,50,305,25,50,40,137,200,5,50,50,30,50,,,8,8,1,
246,16,22,8,2,9,8,12,14,26,44,55,18,23,17,8,12,18,8,16,17,23,16,65,8,2,,,16,54,,18,9,77,13,8,13,,,24
247,4,2,,,2,,3,3,6,,2,,,2,,,4,,7,6,2,2,2,,,,,,,,2,2,10,22,4,6,2,,
248,,,19,4,,,,,6,6,,,,1,10,14,1,,30,7,12,1,,12,,,10,,,2,,,3,11,3,2,,1,45
249,,,,,,,,2,102,,10,,,,,,,,1,,,20,,,,2,,,,,48,16,,10,,,11,3,
250,,40,10,,,,,,4,14,4,,,,2,,3,,4,,4,,,,,,,,2,,,,4,16,,20,,,
251,,2,,,,1,,,,4,2,,2,3,,2,,,,4,,,,,,,2,,4,,1,,4,,,4,,,
252,,2,,3,,,,2,,,2,2,2,,,4,4,,,6,,,2,,,,1,3,,,,49,2,2,,3,,,
253,,,,,,,,,,5,,,,,,2,,,2,,,,2,2,,,,,5,,,,,,5,,,,
254,,,,,,12,12,,,20,12,75,,,3,12,7,,,12,,2,,,,,3,4,,,,16,,5,8,12,,,12
255,,2,,6,,,8,12,6,9,,,2,,,6,,10,18,8,32,6,,,,,6,,2,,,8,2,14,6,6,,12,
256,4,2,,,,,,,2,2,2,,,2,2,,,,,,2,2,,,2,,,6,4,2,2,,4,4,,,,2,4
257,,4,,3,,4,,,30,,2,,,4,,7,,,,8,4,,4,,35,2,,4,,1,2,2,17,11,,,,,
258,,,5,,,,,,,,12,,,4,,,1,,,1,,,,,1,,,,,,,,4,7,,5,,4,
259,4,,4,4,,4,16,4,,4,,6,10,8,5,4,4,,,4,12,36,,2,,8,4,,,4,4,12,4,28,20,10,4,,42
260,,5,,30,,,30,30,30,35,,,,2,,30,,30,120,30,180,30,,,,,30,,,,,30,,30,30,30,,60,
261,,,,,,,4,,,,2,,4,4,,,,,,4,16,,4,8,3,,,,,,4,,,,,17,,,
262,14,15,17,6,,31,170,,1,,,18,2,14,72,,14,14,,,42,28,14,46,,,,31,20,,,,,50,14,,14,,
263,,105,57,1,176,,14,44,36,160,6,5,,66,,119,48,53,135,11,32,97,6,3,25,,16,3,12,,,4,,27,9,,6,25,
264,,,15,8,8,,31,21,24,10,48,8,8,,16,10,8,,8,4,12,,8,,8,,,,,,10,8,16,48,2,26,,8,8
265,56,20,,6,,,,6,,,6,24,42,64,42,,,4,6,8,,50,26,14,,93,,16,,20,70,12,6,32,10,42,14,20,16
266,3,6,9,3,9,6,6,18,3,3,9,,,,,6,3,3,7,15,16,12,,5,21,13,3,,6,24,3,3,27,18,2,11,,6,8
267,,,6,,8,4,3,2,4,6,2,1,84,,10,8,,6,4,3,14,3,5,6,,,,11,12,,7,15,24,28,11,1,47,21,9
268,1,,,,,,,,19,,,,40,80,40,,40,20,,,,,,,,,,4,,,,,,,42,70,40,10,40
269,12,,1,6,,,,,,24,,,60,,,,,,,,66,30,,10,,,,,,7,,,,14,10,1,20,,
270,,,1,,,,1,,,,,20,1,,20,,,1,,,3,3,,1,,,,,,,7,,,,,,9,,
271,,,,,,,,,,,12,8,36,,,,,,,24,12,,50,16,,,30,,,,12,8,,,24,,24,,
272,2,,,,,,,3,,2,10,4,4,,,,,,5,2,,,11,4,,,,,,2,2,,5,,8,2,44,2,4
273,,4,4,8,,,1,2,4,,,,16,16,,,,,6,,17,4,,,10,4,12,,10,,,,,7,19,4,20,,2
274,,16,8,,12,,,,10,,10,,8,20,8,12,20,,30,38,10,,,,8,,8,,3,,,,8,,8,,8,,
275,6,11,2,2,,2,2,2,14,6,6,19,8,4,3,3,,2,8,,12,2,1,16,2,7,4,5,,,6,4,,,,11,13,1,6
276,23,,8,,3,35,2,10,60,65,35,,49,13,58,6,,,10,,6,,95,124,45,3,,3,3,22,119,25,2,98,145,74,96,83,
277,,,,3,,3,,,,6,,3,,,,,,,3,,9,3,6,3,3,,3,6,,,,3,,6,,3,,,
278,,,2,,,2,,1,2,3,2,,3,,,,,1,,,9,,,,,,,2,,,1,1,6,1,,,,,
279,,18,12,18,24,6,30,24,51,36,24,18,6,11,6,12,26,30,54,14,54,67,,8,24,12,6,24,12,18,24,6,64,77,23,24,6,4,22
280,1,,,,,,5,,,10,,5,1,5,,,,,5,5,10,,5,,,,,5,,,,5,17,20,,,5,,
281,2,4,6,14,2,4,12,4,6,14,4,6,2,10,8,8,12,6,4,6,12,14,15,,2,6,6,12,6,6,6,12,7,16,5,9,6,8,2
282,185,112,,,,,,,9,3,136,37,68,160,,,,125,,5,20,20,70,300,90,84,160,,,,90,164,,96,129,60,50,96,
283,4,34,,12,,12,24,24,8,28,,,36,4,40,,50,8,28,10,24,,6,,,,6,12,24,,4,40,,36,12,,24,,
284,56,,,,41,56,84,76,92,78,,112,4,,,,,56,4,56,56,,,,48,,,,,64,,20,,,,56,48,,56
285,,,,1,,1,,4,,2,,,7,,4,,1,3,2,2,4,1,,1,,2,1,,1,5,3,,,3,,,,,
286,,2,2,8,2,1,2,4,4,5,1,2,,6,2,5,8,4,3,2,7,5,1,2,4,4,,3,3,5,2,2,10,12,1,3,,2,2
287,4,6,10,10,9,9,7,21,33,32,8,9,7,7,13,8,12,10,13,16,34,21,19,5,9,6,10,8,27,15,14,8,17,28,11,12,4,4,5
288,14,,,,,,,,,8,4,10,,5,,2,,1,,3,8,,10,,4,,,,,,,,,12,4,12,,,
289,,12,4,,,12,4,10,20,8,,,4,,4,8,24,8,44,4,24,12,12,7,,,,,8,,,12,16,20,,,24,4,
290,4,2,,4,2,2,4,4,,5,1,1,,2,1,1,,3,5,4,2,2,1,2,2,1,2,1,1,,2,4,6,9,,,,1,2
291,12,12,12,12,,,,12,12,48,12,,12,12,12,,,24,,12,48,24,12,,12,12,,12,,,18,,12,24,,24,12,,12
292,8,24,28,24,8,33,64,8,28,56,16,24,8,4,,,16,40,41,40,64,44,8,8,8,16,16,20,16,16,48,64,48,56,16,,,8,8
293,,10,10,,,,,10,1,10,6,25,6,,6,4,,,31,,9,4,,1,,,,,,2,2,,,26,4,,2,15,
294,,,,10,,,,5,21,14,,,1,6,4,8,14,,,,9,10,,4,,,,1,4,,3,,,12,15,,4,,6
295,,,,5,6,2,14,,,1,12,,9,1,,1,8,,,,14,15,,1,,2,8,4,2,,5,1,,7,,10,,,
296,1,12,2,2,1,,1,4,4,1,2,4,,4,2,3,4,,2,,11,,,1,2,3,,,,1,2,,8,,7,1,1,,1
297,1,2,1,2,2,4,,,4,,1,,,,6,3,-1,,5,2,4,,5,,,1,1,2,2,,5,6,,6,,,20,,9
298,2,4,8,2,10,,2,8,16,5,2,8,,6,2,15,7,,5,4,9,7,,4,4,6,3,1,,2,4,55,8,12,5,3,6,,9
299,,4,,,,,,,12,20,24,1,,,,,,,,5,11,,,,,,,,,,8,4,5,3,7,15,2,,
300,,,,1,,,4,3,4,2,1,2,4,,1,,,,2,4,5,5,,4,2,3,,2,,,1,,4,7,10,,,,
301,,,,,,,,,,2,,,,,1,,,,,1,,1,,,,,,,,,1,1,,,1,,1,,
302,1,,,1,,,,,,,,,,,,,,,1,,,,,,2,,,,,,1,,2,,,,,1,
303,2,,,2,,,,,6,8,6,6,2,,2,,4,,1,,,2,8,4,8,1,,,,2,2,,2,2,6,2,,3,
304,3,,1,,,,,3,,3,8,29,26,10,,,,,3,3,4,13,,13,7,41,,,,5,6,9,18,29,,5,3,,
305,,,,2,,,,,,2,,,,,,,,,,10,2,8,,,,,,,,,,2,6,4,,3,1,,2
306,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,5,5,,,1
307,,,,,,4,,,4,8,,1,,1,,,,1,,,1,,1,,,1,,4,2,,,18,,,,,,,
308,,,,,,,2,5,,4,,,,6,,,,,,4,8,12,,,,,,,,,,,4,8,14,20,8,,2
309,,,,,,2,,,,8,,,,,,2,,,6,1,4,,,,,,,,8,3,,,,15,,,,,
310,,,34,,12,,,10,,,18,10,,20,,,32,,10,32,18,,,,5,12,4,,8,24,8,,,8,,,,,
311,13,,,,,,,,80,,,,69,50,16,,,,,,,,26,,20,40,,,,,,,10,75,,50,80,,8
312,8,2,,,9,16,4,15,9,16,,,,8,,,2,12,16,12,16,,,,18,,,8,,,28,8,4,,8,,22,,
313,,,10,,,,,4,4,,,4,,4,,4,4,,,,,,,,,4,4,,,,4,6,6,6,,4,,11,
314,2,3,,,,,6,,4,2,,,2,,,,,,1,6,18,,,,,1,,,,,2,28,11,2,3,3,,,1
315,,2,,,,,,2,,2,2,,,2,,,2,,2,6,,,,2,4,,4,,2,,,,4,6,2,,,,
316,2,4,4,4,,,,,8,4,6,2,2,2,2,8,2,2,4,,2,6,4,4,10,,,,2,1,2,4,,,,,2,2,
317,3,,,,,,,,,,,,,10,12,,,6,,,,,6,,12,,6,,,,22,12,,10,,,15,,10
318,2,,,,4,,2,20,8,2,10,,,,,,4,,4,22,18,,4,,,,,,,,4,10,18,34,,,,,
319,,,62,106,12,,6,30,81,62,,6,26,20,44,56,,72,60,7,16,10,,,,,20,,10,10,40,22,5,26,2,10,,30,
320,8,,,,,,,,,2,,,7,,,,,,,,,,,4,4,9,1,,,,2,,1,,,,4,,
321,,,,,1,,,5,1,,3,,,1,,,2,5,,2,,,,,2,,2,,2,,,2,2,3,1,,,,
322,,54,10,5,,,,,30,50,,,,,58,4,,2,8,,58,,,1,16,,15,,,,,,,,,30,1,55,
323,,40,40,68,,70,1,8,2,35,50,,,10,125,106,,,50,,20,,,60,,,30,12,2,,,,,,,20,,,33
324,3,4,,,,,,,,1,,14,3,5,6,2,,,,3,2,,2,4,2,,,,,2,4,,8,4,1,5,3,2,2
325,4,,,17,,,,,,15,,,15,,15,15,,,15,,15,,,,,,,5,15,15,,,,,,7,27,,
326,,1,2,,,,,,1,2,1,,,,1,70,3,,8,,5,,,10,1,,,,,,1,1,10,,140,,,,
327,8,4,4,4,,,4,,12,1,,4,,,4,,,,4,8,,4,4,4,14,1,14,,,,,5,8,16,,,4,4,1
328,,,47,8,2,1,,,,10,,,,,,,,,,,40,140,,,,,,,2,,10,10,200,10,,,,,20
329,10,20,28,37,3,27,41,29,21,68,59,20,14,34,54,23,19,21,18,36,56,42,20,4,6,15,22,44,28,31,20,34,69,69,11,28,23,7,23
330,4,9,14,17,3,8,5,4,26,2,13,6,64,,4,8,2,,2,,21,9,,,,6,2,,,,,6,,,,4,,,7
331,11,,,10,,2,2,14,6,17,29,18,37,9,,2,2,6,2,14,46,9,12,45,16,5,8,2,6,5,,12,,38,16,54,6,2,
332,,,1,1,,,,,,4,,4,,,,,,,,,2,,,,4,,,,,4,,2,2,2,2,2,,,
333,,,,,,,,,,,16,,,,,,,10,32,,,,,16,,,,,,40,8,,13,,,8,,,
334,,,,,,,,,,8,,,,,,,,,,,2,,8,6,,,,,6,10,,,,20,,6,,,
335,,2,,,2,,,5,,1,4,2,2,,,,,5,,8,,,,,1,,,,,4,,6,,,,2,3,,2
336,,2,3,,,,,1,,1,3,,2,,,,,,,9,,,,,1,,,1,2,2,,1,,,,6,,,2
337,6,,,,,,,,,,3,3,,,,,,,,,,,3,,3,,,3,2,,,3,,,3,6,,,3
338,4,,,7,,4,7,,,,2,2,,,,,,,,11,,,2,,9,,,2,6,8,,6,3,,9,1,,,
339,2,,,,,1,2,,,,1,1,,,,,,,,1,,,1,,1,,,1,,,1,2,2,,1,,,,
340,,,10,,3,,,3,,,17,,3,,,,,,3,10,,,3,5,5,3,,3,,4,2,5,3,,3,6,8,,6
341,3,1,2,,,1,,2,,,10,2,,1,,,10,8,2,4,,,,,2,8,,2,,2,,2,4,,,6,5,,
342,1,4,,,,,,,1,,1,2,11,1,,,8,,,,1,,8,5,8,1,,,,,,,1,,4,6,3,,
343,,,1,,,,,,1,1,,,,,,,1,2,2,,3,,,,,1,1,2,,,1,,3,2,,,,,1
344,,,,,,,,,24,96,,,,,,,,,,24,48,,24,24,3,,,,,,,36,,34,,144,73,,19
345,,,,,,,,2,,,,2,6,,,2,,,,,,,,2,,,,,,,,,,6,2,4,2,,
346,,,,60,,1,,5,70,1,,70,,70,,,,,6,12,,1,42,1,,40,,,,,,2,1,16,62,,5,60,60
347,,,,2,,,,,,2,2,12,6,,,16,2,,,12,4,4,1,,10,,,,,,2,,10,,,,,,8
348,,8,1,2,,1,1,1,2,,12,,4,,6,2,,,4,14,4,2,,4,,,,,,,1,3,4,4,,,,,
349,2,18,,5,2,4,12,14,7,2,32,30,50,1,8,24,8,,,32,8,1,47,28,35,,,12,,,4,8,12,19,20,42,68,8,66
350,3,,,1,,,,,1,,,5,10,,,2,,,,1,,,,2,10,,,2,,,,,,,,9,2,,
351,,,,,,,,,,,2,8,14,,,8,2,,,28,11,10,,2,,4,3,,,,8,,24,2,5,,18,,18
352,,1,,,,,,,6,,1,1,1,,,6,,,,7,,1,,1,2,,1,,,,,,,3,1,,1,,92
353,,,3,,,,,2,,,,,2,,,,,4,2,,6,6,,,,,,2,,,2,,,6,,,,,
354,1,,1,,,,2,,1,,2,5,8,1,,,,,1,,1,,,,13,,1,,,,,,7,,1,2,3,,
355,2,,13,4,,,8,2,8,2,1,,8,,8,,,,2,11,8,2,,,4,,2,16,,,2,10,2,2,,2,,,
356,2,,,,,,,,,,,,4,,,,,,2,2,1,6,,,,,,,,,2,,,2,14,1,2,2,
357,3,,,1,,,4,,,,8,3,13,,,,3,1,,21,3,,8,10,5,,,,,,12,1,1,,23,4,,,3
358,4,3,,1,2,,7,8,2,,2,,,2,,,4,,2,6,8,2,6,,,,,,,,2,2,8,15,4,6,4,,
359,,,,,,,2,,,,,2,9,8,,6,,,,10,,,,,8,,,2,,,8,,,6,8,6,2,,
360,8,28,,12,,,18,,4,24,27,6,16,4,12,,11,2,6,22,24,6,6,11,8,,,,,,5,22,14,4,8,,,,
361,,,,,,,,2,,,12,2,10,,4,20,2,8,,2,,,10,28,4,,,,,,2,5,,2,,3,6,,6
362,1,18,1,,,4,2,,1,6,22,2,20,3,1,2,,,-1,5,6,,31,9,22,,2,,2,,1,,,2,3,20,55,1,
363,,36,53,2,,,,18,68,232,,3,,6,203,,7,6,,,3,,,3,,,6,18,15,6,2,120,69,46,46,,,60,81
364,,,4,,,2,,2,1,12,5,,3,16,,8,,,,1,15,,14,72,5,12,,,,,18,,13,18,26,4,,1,
365,,15,1,,,,,,,,4,,16,2,,1,1,,,,4,,6,,,1,,,,,,,,,6,1,,3,
366,1,6,16,24,,,4,33,36,30,6,12,13,5,2,1,19,12,49,52,52,12,28,40,68,4,12,6,4,24,50,28,18,32,3,5,3,4,26
367,8,8,11,10,,12,12,14,25,2,2,,17,2,6,9,6,,,1,17,7,16,2,2,,1,,,16,34,24,3,2,,8,,6,10
368,38,9,26,38,16,8,1,117,111,48,28,82,45,30,27,33,9,2,18,120,117,71,44,15,18,24,58,15,19,12,12,27,24,97,36,18,56,8,14
369,8,37,24,5,2,7,60,55,57,53,28,11,8,11,4,52,12,8,17,47,67,73,,16,3,4,8,12,8,28,36,6,69,24,3,8,47,8,15
370,,,16,16,16,12,84,16,32,20,96,32,17,,,20,16,,8,8,,,12,1,,,,,16,,16,16,32,8,,28,,,16
371,,,,,,,,1,,2,2,,,,,1,1,,,,,,,,,,,,,,1,1,2,1,,1,1,,
372,,,,,,,,1,,,,1,1,,,,,,,1,,,,,1,,,,,,,,,1,2,3,2,,
373,,,,5,3,4,4,2,7,3,17,3,,1,,1,4,,,5,16,23,4,,,,3,,,,3,11,25,,3,,3,1,39
374,,,,8,,,2,,4,,,,,,2,,,,4,8,,,,,,,,,,,,,6,8,,,2,,
375,,,,,,,,5,,,4,10,11,,,16,,,,,,,,,,,,,,,,,,10,4,14,2,,10
376,443,258,,47,19,126,282,,19,36,27,126,78,23,172,40,56,103,60,13,157,14,6,121,18,14,8,18,2,,68,3,15,92,,34,75,23,2
377,,,,,4,,4,,,5,11,,5,1,4,,8,,,2,16,3,,,,,,8,2,4,,1,,5,,,,4,
378,8,,,2,,6,2,6,4,8,2,2,3,20,2,12,16,5,8,8,4,8,,,3,,2,4,,2,1,,6,12,,,,,4
379,,,,,,,12,12,12,,,,12,,,5,20,,16,11,8,2,6,,,,,14,10,,,,,2,4,,,,4
380,72,96,64,1,181,,,26,,128,1,,,64,,112,48,120,128,2,,48,1,3,,14,,16,,1,,2,,,2,,41,,
381,,,,,,8,,8,8,8,,,,,,,,8,8,12,16,,,,16,,,8,,,,8,,,,,24,,
382,44,,,2,4,4,,54,38,34,8,,12,2,12,,,2,36,27,2,,4,12,72,,2,-2,2,,4,4,3,4,,,47,,2
383,8,,16,8,,,32,,,48,16,36,,,,,3,10,16,32,,48,16,,,32,,16,16,16,16,56,16,21,,16,,15,1
384,,1,,,,,2,,9,,2,,,,,2,1,2,,4,1,,,,,,,1,,,,2,2,,2,,,,1
385,,,14,,,,,,34,12,12,12,12,6,12,12,12,,24,,48,,24,12,12,1,,,,24,12,24,,,,,,,36
386,2,,,2,,,,,2,,2,2,2,,,,2,,,,,,6,4,4,,,,,2,,2,,,,,15,,
387,1,,,,,,,,48,,,,,,,,,,,,12,,12,12,3,9,,,,24,24,12,,,,,,,
388,2,2,3,2,,,,,,,4,1,5,7,1,,,1,2,1,4,,4,1,,5,,,,,2,2,,2,10,9,1,,2
389,,,,,1,,,,,,,,1,,,1,,,1,1,,1,,,,,,,1,,2,,1,,,,,,2
390,1,3,5,8,2,3,4,13,1,5,4,4,2,7,6,6,11,11,6,7,4,16,2,2,3,5,3,8,13,7,3,9,7,10,11,5,2,5,7
391,1,,1,,,,,3,3,,3,1,3,,,1,,,,1,,3,4,3,,,2,,1,,1,,2,,,7,1,1,1
392,3,2,1,1,,,,,9,17,9,2,,4,1,2,1,,1,3,1,3,2,2,,1,3,,1,,1,1,,7,5,16,5,1,
393,,3,,,,,,,,,2,,3,1,,,1,,,,1,1,,3,,5,,,,,,,1,,,5,4,1,
394,294,44,15,,2,100,70,,23,238,178,272,486,199,64,38,29,5,30,112,120,56,114,234,300,144,27,,36,10,258,3,20,169,326,378,125,60,65
395,,,,,1,1,2,,4,3,,2,,,1,,3,,,,1,,,,,,,,1,,3,,2,3,,2,,,
396,2,,,,,,2,8,8,2,4,2,,,,,4,3,,,6,2,,,,,2,,,2,2,17,7,10,,,2,,
397,12,,,12,,,4,,7,11,12,25,24,6,,,10,,4,20,4,,4,8,16,,4,,,8,4,22,11,34,32,4,8,,12
398,39,,4,20,,,8,4,24,4,50,46,58,7,,1,,,16,36,51,4,20,39,40,10,8,,,8,16,28,12,79,103,33,45,4,
399,,2,1,1,1,,1,1,,3,1,1,,1,6,,,,,4,,,,,,,3,,1,,,,4,5,1,1,,,1
400,2,,,2,,2,6,6,4,4,5,,,2,,,,,,4,10,5,2,1,5,2,2,,8,2,2,4,4,8,2,2,2,1,
401,,,,,6,,,,2,10,,,,,,,1,,1,,,,1,,1,,1,,,,,,,2,2,2,,,1
402,,,,,2,12,2,14,30,28,30,,,8,16,28,20,,3,,,5,,10,,,14,14,,10,15,10,,2,,10,4,,
403,,,20,11,27,,2,,40,,10,,,11,20,5,43,2,10,,,,,10,,8,17,1,,,18,20,,,15,10,10,,3
404,,2,13,10,7,,17,22,10,16,2,,10,16,6,35,6,,15,,10,17,,10,,13,11,,21,12,6,14,10,12,,10,4,,
405,51,,4,6,,,4,4,24,,29,22,30,,,,,,12,20,44,4,12,28,24,10,1,,,,12,6,18,26,40,21,20,4,
406,,,,2,,,,,1,2,,2,,6,2,2,,4,,,,2,,4,1,2,,5,,,4,,,1,,,,,2
407,,64,62,,,,22,,63,,,,,,,,1,3,,,,1,,,,,,,,,,4,4,36,,58,,5,7
408,,,,2,,2,8,6,4,4,4,,,2,,,,,,4,12,5,2,,,2,2,,8,2,4,18,4,6,,,2,,
409,,2,,,,,,,2,,2,,,,,,,,,,2,2,,,,,,,,,1,,6,2,,,,,
410,,2,,,,,,,1,4,,2,,2,,2,,,2,,,,2,,2,,2,2,2,,2,,1,4,,,,,
411,1,,,,,,,1,,1,,,2,,,2,,,,,,1,,,2,,,,,,4,,,,,,1,2,
412,,1,8,4,,,,4,5,6,,,,,4,3,2,,,2,1,,,,,,5,8,2,,,6,,,23,1,,,
413,,1,2,,,,2,,,1,1,2,10,,1,2,,,,1,,4,1,3,,,,,,,,,2,2,2,6,,,
414,,,,,,,5,,,,20,2,1,,,,,,6,,,,,,,,5,,,,6,6,,,1,,,,
415,10,,,,,,,2,4,,1,2,,,,,,1,,,,2,,,,,2,,,,,4,,,2,2,2,,
416,,3,1,1,,1,2,2,,,,5,11,,1,2,,1,,2,1,1,,10,,3,,,,1,1,,3,7,3,1,1,1,
417,2,,,,,,4,,4,,4,,4,,2,,,,,2,,,,2,,1,4,,,,,,,4,2,,,1,
418,,,,,,,,,16,,,,3,,,,,,,7,,,,,,,,,,,,,10,8,,,3,,
419,,,2,,,,2,,2,,5,,,,3,2,2,,6,5,4,,,,,2,,1,,,,1,,2,,,,,
420,,9,12,2,,,2,10,2,3,,5,2,,4,,,,3,2,10,,,,,,10,,,2,,,,3,,3,2,10,
421,,,,,,,,,2,,2,,,,,,,,1,,2,,,,,,,,,,1,,6,,,,,,
422,2,11,14,6,8,2,4,10,7,4,16,2,2,21,16,4,12,2,4,13,16,,2,16,4,12,10,4,,2,2,,4,1,10,70,,4,2
423,8,4,4,16,,8,12,12,36,12,,,,4,,10,10,4,11,30,3,8,,,,4,,12,4,8,7,8,16,8,,8,,,
424,,12,,,,,,2,10,7,,5,2,2,5,,1,,,6,2,2,,,,,5,2,,,,,6,,,1,,6,
425,,16,,,,14,,,10,20,,,,,,,,49,,8,12,,,,,,24,,,24,,24,13,10,,24,16,56,28
426,10,28,,15,,24,14,28,80,14,14,,13,,14,,12,15,78,15,7,57,10,,14,14,,,14,,42,28,84,56,,12,29,,
427,,8,4,,,4,16,16,24,,16,,8,8,,,32,8,48,8,24,20,8,8,,,,,16,,20,16,16,8,,,36,6,8
